ref	value	footprint	pads
C1	100n	Capacitor_SMD:C_0402_1005Metric	1=3V3;2=GND
C2	100n	Capacitor_SMD:C_0402_1005Metric	1=3V3;2=GND
C3	10u	Capacitor_SMD:C_0402_1005Metric	1=3V3;2=GND
C4	10u	Capacitor_SMD:C_0402_1005Metric	1=3V3;2=GND
C_BAT	1uF	Capacitor_SMD:C_0402_1005Metric	1=VBAT;2=GND
C_IN	1uF	Capacitor_SMD:C_0402_1005Metric	1=VBUS;2=GND
C_LDO	1uF	Capacitor_SMD:C_0402_1005Metric	1=GND;2=3V3_DISP
C_PMID	4.7uF	Capacitor_SMD:C_0402_1005Metric	1=PMID;2=GND
C_SYS	10uF	Capacitor_SMD:C_0402_1005Metric	1=VSYS;2=GND
C_VINLS	1uF	Capacitor_SMD:C_0402_1005Metric	1=PMID;2=GND
D_TVS_VBUS	PESD5V0S1U	D_SOD-323	1=VBUS_POGO;2=GND
FB1	BLM18PG121SN1	Inductor_SMD:L_0603_1608Metric	1=VBUS_POGO;2=VBUS
J_BAT	BAT	Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical	1=VBAT;2=GND
J_DISP_MAIN	DISP_MAIN	Connector_FFC-FPC:Hirose_FH12-10S-0.5SH_1x10-1MP_P0.50mm_Horizontal	1=3V3_DISP;2=GND;3=EPD_MOSI;4=EPD_SCK;5=EPD_CS_MAIN;6=EPD_DC;7=EPD_RST;8=EPD_BUSY_MAIN;9=GND;10=3V3_DISP;MP=GND
J_STRAP_L	STRAP_L	Connector_FFC-FPC:Hirose_FH12-10S-0.5SH_1x10-1MP_P0.50mm_Horizontal	1=3V3_DISP;2=GND;3=EPD_MOSI;4=EPD_SCK;5=EPD_CS_L;6=EPD_DC;7=EPD_RST;8=EPD_BUSY_L;9=GND;10=3V3_DISP;MP=GND
J_STRAP_R	STRAP_R	Connector_FFC-FPC:Hirose_FH12-10S-0.5SH_1x10-1MP_P0.50mm_Horizontal	1=3V3_DISP;2=GND;3=EPD_MOSI;4=EPD_SCK;5=EPD_CS_R;6=EPD_DC;7=EPD_RST;8=EPD_BUSY_R;9=GND;10=3V3_DISP;MP=GND
J_SWD	SWD	Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical	1=3V3;2=SWDIO;3=SWDCLK;4=nRESET;5=GND
L_SYS	2.2uH	L_0805_2012Metric	1=SW;2=VSYS
NTC_BAT	10k_NTC	R_0402_1005Metric	1=TS;2=GND
R1	10k	Resistor_SMD:R_0402_1005Metric	1=3V3;2=nRESET
R2	10k	Resistor_SMD:R_0402_1005Metric	1=3V3;2=EPD_CS_MAIN
R_CD	10k	R_0402_1005Metric	1=CD;2=GND
R_ILIM	2.0k	R_0402_1005Metric	1=ILIM;2=GND
R_IPRETERM	0R	R_0402_1005Metric	1=IPRETERM;2=GND
R_ISET	4.02k	R_0402_1005Metric	1=GND;2=ISET
R_LSCTRL	10k	R_0402_1005Metric	1=LSCTRL;2=3V3
R_SCL	4.7k	Resistor_SMD:R_0402_1005Metric	1=SCL;2=3V3
R_SDA	4.7k	Resistor_SMD:R_0402_1005Metric	1=SDA;2=3V3
R_TS	5.1k	R_0402_1005Metric	1=VBUS;2=TS
R_VSYS	0R	R_0603_1608Metric	1=VSYS;2=3V3
SW1	BTN1	Button_Switch_SMD:SW_SPST_B3U-1000P	1=BTN1;2=GND
SW2	BTN2	Button_Switch_SMD:SW_SPST_B3U-1000P	1=BTN2;2=GND
SW3	BTN3	Button_Switch_SMD:SW_SPST_B3U-1000P	1=BTN3;2=GND
SW_DBG	PROG EN	Button_Switch_SMD:SW_DIP_SPSTx03_Slide_Copal_CVS-03xB_W5.9mm_P1mm	1=SWDIO;2=SWDCLK;3=nRESET;4=nRESET_POGO;5=SWDCLK_POGO;6=SWDIO_POGO
TP1	VCHG	TestPoint:Pogo_Pad_D1.5mm	1=VBUS_POGO
TP2	GND	TestPoint:Pogo_Pad_D1.5mm	1=GND
TP3	SWDIO	TestPoint:Pogo_Pad_D1.5mm	1=SWDIO_POGO
TP4	SWDCLK	TestPoint:Pogo_Pad_D1.5mm	1=SWDCLK_POGO
TP5	nRESET	TestPoint:Pogo_Pad_D1.5mm	1=nRESET_POGO
TP6	OPT	TestPoint:Pogo_Pad_D1.5mm	1=OPT
U1	MDBT50Q-1MV2	RF_Module:Raytac_MDBT50Q	1=GND;2=GND;3=EPD_SCK;10=EPD_BUSY_L;11=EPD_BUSY_MAIN;14=EPD_BUSY_R;15=GND;16=EPD_RST;17=EPD_DC;20=EPD_MOSI;21=EPD_CS_MAIN;23=EPD_CS_L;24=EPD_CS_R;25=SDA;28=3V3;29=SCL;30=3V3;31=GND;34=PMIC_INT;40=nRESET;41=BTN2;51=SWDIO;52=SWDCLK;54=GND;56=BTN3;61=BTN1
U2	BQ25120A	EInkWatch:Texas_YFP0025_DSBGA-25_2.5x2.5mm_Layout5x5_P0.4mm	A1=GND;A2=VBUS;A3=PMID;A4=SW;A5=GND;B1=VBAT;B2=VBAT;B3=PMID;B4=PMID;B5=VSYS;C1=ISET;C2=ILIM;C3=TS;C4=PMID;C5=3V3_DISP;D1=IPRETERM;D2=PMIC_INT;D3=GND;E1=CD;E3=LSCTRL;E4=SDA;E5=SCL
