t_s,VSYS_V,VDISP_V,I_discharge_A
0.000000e+00,3.799999e+00,1.444000e-09,1.500000e-05
1.228000e-02,3.799999e+00,1.444000e-09,1.500000e-05
3.128000e-02,3.799999e+00,1.444000e-09,1.500000e-05
5.028000e-02,3.799999e+00,1.444000e-09,1.500000e-05
6.928000e-02,3.799999e+00,1.444000e-09,1.500000e-05
8.828000e-02,3.799999e+00,1.444000e-09,1.500000e-05
1.072800e-01,3.799999e+00,1.444000e-09,1.500000e-05
1.262800e-01,3.799999e+00,1.444000e-09,1.500000e-05
1.452800e-01,3.799999e+00,1.444000e-09,1.500000e-05
1.642800e-01,3.799999e+00,1.444000e-09,1.500000e-05
1.832800e-01,3.799999e+00,1.444000e-09,1.500000e-05
2.022800e-01,3.799999e+00,1.444000e-09,1.500000e-05
2.212800e-01,3.799999e+00,1.444000e-09,1.500000e-05
2.402800e-01,3.799999e+00,1.444000e-09,1.500000e-05
2.592800e-01,3.799999e+00,1.444000e-09,1.500000e-05
2.782800e-01,3.799999e+00,1.444000e-09,1.500000e-05
2.972800e-01,3.799999e+00,1.444000e-09,1.500000e-05
3.162800e-01,3.799999e+00,1.444000e-09,1.500000e-05
3.352800e-01,3.799999e+00,1.444000e-09,1.500000e-05
3.542800e-01,3.799999e+00,1.444000e-09,1.500000e-05
3.732800e-01,3.799999e+00,1.444000e-09,1.500000e-05
3.922800e-01,3.799999e+00,1.444000e-09,1.500000e-05
4.112800e-01,3.799999e+00,1.444000e-09,1.500000e-05
4.302800e-01,3.799999e+00,1.444000e-09,1.500000e-05
4.492800e-01,3.799999e+00,1.444000e-09,1.500000e-05
4.682800e-01,3.799999e+00,1.444000e-09,1.500000e-05
4.872800e-01,3.799999e+00,1.444000e-09,1.500000e-05
5.062800e-01,3.799999e+00,1.444000e-09,1.500000e-05
5.252800e-01,3.799999e+00,1.444000e-09,1.500000e-05
5.442800e-01,3.799999e+00,1.444000e-09,1.500000e-05
5.632800e-01,3.799999e+00,1.444000e-09,1.500000e-05
5.822800e-01,3.799999e+00,1.444000e-09,1.500000e-05
